"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Central Warehousing Corporation","RANA PRATAP BAGH","3951646","G.T. Karnal Road Opp. SBI Colony,","North West","NCT OF DELHI","19646","25-Mar-2021","24-Mar-2026","9560463804","Active",""
"Central Warehousing Corporation","Central Warehouse, Narela","6626220","I Block Industrial Area, DSIIDC","North West","NCT OF DELHI","12812","31-Aug-2022","30-Aug-2027","9650550454","Active",""
