"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Chhattisgarh State Warehousing Corporation","CGSWC, KONDAGAON (khubadobra parishar )","6724058","(khubadobra parishar ),","Bastar","CHHATTISGARH","2088","29-May-2023","28-May-2028","9098189354","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC BERLA","6747273","BERLA(RAMPUR BHAND),","Durg","CHHATTISGARH","4176","27-Jun-2023","26-Jun-2028","9479032891","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, BARADWAR ( Basti Baradwar)","6747182","( Basti Baradwar),","Janjgir - Champa","CHHATTISGARH","16240","27-Jun-2023","26-Jun-2028","9977169939","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Bishrampur (Main Road)","6766539","(Main Road) Bishrampur,","Surguja","CHHATTISGARH","4408","31-Jul-2023","30-Jul-2028","9425253251","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Bhairamgarh","6616411","Sanjay pura,Bhairamgarh,","Bijapur","CHHATTISGARH","1160","16-Aug-2022","15-Aug-2027","9406087898","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC PAKHANJUR","6820716","PAKHANJUR,","Uttar Bastar Kanker","CHHATTISGARH","2567","21-Dec-2023","20-Dec-2028","9424180297","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KESHKAL(Singanpur)","6820807","BASTAR ROAD Singanpur,","Bastar","CHHATTISGARH","10440","21-Dec-2023","20-Dec-2028","8839854386","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC , NEWARA TILDA(khaprikala)","6820898","Hathband road khaprikala,","Raipur","CHHATTISGARH","18792","21-Dec-2023","20-Dec-2028","8889903844","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, WADRAFNAGAR (Prem Nagar )","6819007","WADRAFNAGAR (Prem Nagar ),","Surguja","CHHATTISGARH","5649","21-Dec-2023","20-Dec-2028","9009057591","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,Bodasagar (Pota parisar)","6795066","Bodasagar (Pota parisar),","Janjgir - Champa","CHHATTISGARH","2088","27-Oct-2023","26-Oct-2028","9753006576","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, BISHRAMPUR (Pahadgaon Parisar)","6769145","Bishrampur,","Surguja","CHHATTISGARH","6264","31-Jul-2023","30-Jul-2028","9425253251","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC SARANGARH (Mandi Parisar)","6747638","SARANGARH CHOWK BILASPUR ROAD,","Raigarh","CHHATTISGARH","4408","28-Jun-2023","27-Jun-2028","9301234316","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KUNKURI (Remte parisar)","6767347","Remte Road Kunkuri,","Jashpur","CHHATTISGARH","3600","31-Jul-2023","30-Jul-2028","7879049348","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, BEMETARA(Office Campus)","6666366","Office Campus,","Durg","CHHATTISGARH","4640","26-Dec-2022","25-Dec-2027","9993929119","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KORBA","6602825","INDUSTRIAL AREA RISDI ROAD KORBA,","Korba","CHHATTISGARH","27144","19-Jul-2022","18-Jul-2027","7067320387","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC , NEWARA TILDA","6568265","GURUGHASIDAS CHOUK, TILDA","Raipur","CHHATTISGARH","23432","31-Mar-2022","30-Mar-2027","9406120916","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, SITAPUR (Chalta Parisar)","6616593","(Chalta Parisar),","Surguja","CHHATTISGARH","2320","16-Aug-2022","15-Aug-2027","9617694120","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, DEVBHOG","6595714","Raipur main road deobhog jharabhal,","Raipur","CHHATTISGARH","3248","15-Jun-2022","14-Jun-2027","8959488710","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Dondilohara","6564751","Near Hanuman Mandir, Vill- Sambalpur, Post- Dondilohara","Durg","CHHATTISGARH","1160","28-Mar-2022","27-Mar-2027","7999550619","Active",""
"Chhattisgarh State Warehousing Corporation","cgswc pendraroad","6615603","Behind H.P. Petrol Pump office,","Bilaspur","CHHATTISGARH","10440","16-Aug-2022","15-Aug-2027","7693914102","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, BARAMKELA","6616957","SANDA, SARIYA ROAD,BARAMKELA","Raigarh","CHHATTISGARH","3248","16-Aug-2022","15-Aug-2027","9131035636","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KONDAGAON(masora parishar )","6702369","(masora parishar ),","Bastar","CHHATTISGARH","2088","31-Mar-2023","30-Mar-2028","9098189354","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Janjgir (Kera Road)","6605349","Kera Road Parisar (Office Campus),","Janjgir - Champa","CHHATTISGARH","13804","21-Jul-2022","20-Jul-2027","8770771842","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, SURAJPUR (Pidha Parisar)","6702096","(Pidha Parisar),","Surguja","CHHATTISGARH","8352","31-Mar-2023","30-Mar-2028","9575952369","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC Dantewada","6702187","chitlaka,Dantewada,","Dakshin Bastar Dantewada","CHHATTISGARH","4292","31-Mar-2023","30-Mar-2028","9770655510","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC BALRAMPUR (JAWAHARNAGAR )","6746465","JAWAHARNAGAR,","Surguja","CHHATTISGARH","3600","27-Jun-2023","26-Jun-2028","9407620075","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, BALODABAZAR (Bhathapara Road )","6747364","NEW BUS STAND ,BALODABAZAR, NEW BUS STAND ,BALODABAZAR","Raipur","CHHATTISGARH","28954","27-Jun-2023","26-Jun-2028","9826182146","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KATGHORA(chhurikala parisar)","6795249","KATGHORA(chhurikala parisar),","Korba","CHHATTISGARH","14616","27-Oct-2023","26-Oct-2028","9806820020","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Dongargadh","6564579","Brahman Para,Dongargadh,","Rajnandgaon","CHHATTISGARH","12296","28-Mar-2022","27-Mar-2027","9109219658","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC CHARAMA","6565832","MANDI ROAD DARGAHAN,CHARAMA,","Uttar Bastar Kanker","CHHATTISGARH","15544","28-Mar-2022","27-Mar-2027","9826209757","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC JAGDALPUR","6565923","AIRPORT ROAD JAGDALPUR, AIRPORT ROAD JAGDALPUR","Bastar","CHHATTISGARH","15312","28-Mar-2022","27-Mar-2027","9425840161","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Devri","6595623","Near PGC Rajnandgaon Road, Deori,","Durg","CHHATTISGARH","1160","14-Jun-2022","13-Jun-2027","7999550619","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Nawapara (Rajim)","6629190","Nawapara (Rajim),","Raipur","CHHATTISGARH","20880","13-Sep-2022","12-Sep-2027","8982118989","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,Balod","6576540","Post, Jamurwa, DIstt. Balod","Durg","CHHATTISGARH","66816","23-May-2022","22-May-2027","8959792936","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Gudhiyari","6564306","Pahadi Chowk, Gudhiari, Raipur","Raipur","CHHATTISGARH","12400","25-Mar-2022","24-Mar-2027","9926479426","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC PITHORA (PotaPara)","6825574","MAHASAMUND ROAD,","Mahasamund","CHHATTISGARH","2088","26-Dec-2023","25-Dec-2028","9425597602","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, PATHALGAON(Kerakachhar parisar)","6797138","Ambikapur road kerakachar,","Jashpur","CHHATTISGARH","17250","30-Oct-2023","29-Oct-2028","9926116661","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,KAWARDHA (Hathlewa)","6797310","Hathlewa (charbhatha),","Kabeerdham","CHHATTISGARH","25056","30-Oct-2023","29-Oct-2028","9826156074","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, NARHARPUR","6892715","DHAMTARI RODE NARHARPUR,","Uttar Bastar Kanker","CHHATTISGARH","928","26-Mar-2024","25-Mar-2029","7879130644","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, LAKHANPUR (Chuhkandanda )","6899827","Chuhkandanda,parisar,","Surguja","CHHATTISGARH","4176","30-Mar-2024","29-Mar-2029","9754339884","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC JANJGIR (khokhra Parisar)","6825939","KHOKHARA PARISAR,","Janjgir - Champa","CHHATTISGARH","23432","26-Dec-2023","25-Dec-2028","8770771842","Active",""
"Chhattisgarh State Warehousing Corporation","CSSWC, Gunderdehi","6592836","Balod Road,Rangkathera,","Durg","CHHATTISGARH","8352","09-Jun-2022","08-Jun-2027","9300497781","Active",""
