"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC NEREDACHERLA OWN","6548010","SURYAPET,","SURYAPET","TELANGANA","12500","03-Jan-2022","02-Jan-2027","7093175111","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","Mancherial - IG","6692735","Rajeevnagar Road,","MANCHERIAL","TELANGANA","15000","07-Mar-2023","06-Mar-2028","9989684524","Inactive","EFFECTIVE CONTROL EXPIRED"
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC ALMAYPALLY","6687966","Almaypally(Vi), Khillaghanpur(M)","WANAPARTHY","TELANGANA","10000","22-Feb-2023","21-Feb-2028","9573631003","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC Sarangapur","6549000","near srirama temple, hanuman mandir road sarangapur","NIZAMABAD","TELANGANA","10000","05-Jan-2022","04-Jan-2027","9959677559","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","GADWAL-IG","6660963","Gadwal,","JOGULAMBA","TELANGANA","10000","08-Dec-2022","07-Dec-2027","9573631003","Inactive","EFFECTIVE CONTROL EXPIRED"
"TELANGANA STATE WAREHOUSING CORPORATION","ALLAPUR-OWN","6969307","Near Mahabubabad Toll Plaza, Allapur Villa Medak","MEDAK","TELANGANA","20000","19-Aug-2024","18-Aug-2029","9989474496","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC Gurralagonda","6550628","behind 2bhk siddipet,","SIDDIPET","TELANGANA","5000","19-Jan-2022","18-Jan-2027","9440154835","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","Katnapally- IG","6999908","Sultanabad,","PEDDAPALLI","TELANGANA","25000","02-Dec-2024","01-Dec-2029","7989716761","Inactive","EFFECTIVE CONTROL EXPIRED"
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC MIRYALAGUDA OWN","6674733","MIRYALAGUDA,","NALGONDA","TELANGANA","2150","18-Jan-2023","17-Jan-2028","9948760142","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC KARIMNAGAR OWN ( BOMMAKAL )","6550172","KARIMNAGAR BOMMAKAL,","KARIMNAGAR","TELANGANA","15500","19-Jan-2022","18-Jan-2027","7989716761","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC KOTHAGUDEM OWN","6549273","LAXMIDEVIPALLI,","NALGONDA","TELANGANA","8300","05-Jan-2022","04-Jan-2027","8744242336","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC Jadcherla","6547475","Jadcherla Telangana,","MAHABUBNAGAR","TELANGANA","10000","23-Dec-2021","22-Dec-2026","9573631003","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC PALVANCHA OWN","6567002","SRINIVASA COLONY,","NALGONDA","TELANGANA","2500","30-Mar-2022","29-Mar-2027","8985395802","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","Raghunadhapalem-Own","6890826","Jinkala thanda(Vi), Raghunadhapalem","KHAMMAM","TELANGANA","20000","23-Mar-2024","22-Mar-2029","9440875568","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","Gurralagondi(Vi)","6673834","Gurralagondi, Behind 2BHK","SIDDIPET","TELANGANA","5000","17-Jan-2023","16-Jan-2028","9440154835","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC NALGONDA OWN","6559447","BEHIND GOVT POLYTECHNIC COLLEGE,","NALGONDA","TELANGANA","20000","24-Feb-2022","23-Feb-2027","9247999396","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC METPALLI OWN","6548911","NEAR MARKET YARD,","JAGTIAL","TELANGANA","10700","05-Jan-2022","04-Jan-2027","9866329193","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC Srirangapuram","6672935","Sherpally road wanaparthy,","WANAPARTHY","TELANGANA","10000","16-Jan-2023","15-Jan-2028","9110561200","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","Khanapur-IG (ANR Godowns)","6717128","khanapur,","NIZAMABAD","TELANGANA","11750","16-May-2023","15-May-2028","9705377099","Inactive","EFFECTIVE CONTROL EXPIRED"
"TELANGANA STATE WAREHOUSING CORPORATION","Shalapally-IG","6723423","Huzurabad,","KARIMNAGAR","TELANGANA","10000","29-May-2023","28-May-2028","7981267200","Inactive","EFFECTIVE CONTROL EXPIRED"
"TELANGANA STATE WAREHOUSING CORPORATION","Rangapur-IG Peddapally-I","6661326","Peddapally,","PEDDAPALLI","TELANGANA","8333","08-Dec-2022","07-Dec-2027","9989684524","Inactive","EFFECTIVE CONTROL EXPIRED"
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC Huzurnagar","6549364","Huzurnagar Miryalaguda road,","SURYAPET","TELANGANA","16740","07-Feb-2022","06-Feb-2027","9989419467","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC BHONGIR OWN","6687420","TAGORE ROAD BHONGIR,","YADADRI","TELANGANA","3700","21-Feb-2023","20-Feb-2028","7093564111","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","Charla ankireddypally","6676266","Chinnakodur,","SIDDIPET","TELANGANA","10000","24-Jan-2023","23-Jan-2028","9440154835","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","Kesamudram- IG","6684096","Kesamudram,","MAHABUBABAD","TELANGANA","6000","17-Feb-2023","16-Feb-2028","9848857937","Inactive","EFFECTIVE CONTROL EXPIRED"
"TELANGANA STATE WAREHOUSING CORPORATION","Khanapur-I-IG(Wgrl)","6723605","Khanapur,","WARANGAL RURAL","TELANGANA","7000","29-May-2023","28-May-2028","9849405485","Inactive","EFFECTIVE CONTROL EXPIRED"
