"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Central Warehousing Corporation","CW, Mandi (Ner Chowk)","5751651","Ner Chowk,","Mandi","HIMACHAL PRADESH","2080","23-Jun-2021","22-Jun-2026","9417501491","Active",""
"Central Warehousing Corporation","CW, Solan","5431649","Vill. Kather, PO Chambaghat,","Solan","HIMACHAL PRADESH","2500","04-Jun-2021","03-Jun-2026","7837012185","Active",""
"Central Warehousing Corporation","CW, Dehra","5711642","Near Khabli Dosadka, PO, Barwra, Dehra,","Kangra","HIMACHAL PRADESH","4270","23-Jun-2021","22-Jun-2026","9417351213","Active",""
